age,race,sex,priors_count,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,juv_other_count,two_year_recid,decile_score,score_text,charge_degree,sex_male
69,Other,Male,0,F,Aggravated Assault w/Firearm,0,0,0,0,1,Low,1,1
34,African-American,Male,0,F,Felony Battery w/Prior Convict,0,0,0,1,3,Low,1,1
24,African-American,Male,4,F,Possession of Cocaine,0,0,1,1,4,Low,1,1
44,Other,Male,0,M,Battery,0,0,0,0,1,Low,0,1
41,Caucasian,Male,14,F,Possession Burglary Tools,0,0,0,1,6,Medium,1,1
43,Other,Male,3,F,arrest case no charge,0,0,0,0,4,Low,1,1
39,Caucasian,Female,0,M,Battery,0,0,0,0,1,Low,0,0
27,Caucasian,Male,0,F,"Poss 3,4 MDMA (Ecstasy)",0,0,0,0,4,Low,1,1
23,African-American,Male,3,M,Battery,0,0,0,1,6,Medium,0,1
37,Caucasian,Female,0,M,Battery,0,0,0,0,1,Low,0,0
41,African-American,Male,0,F,"Poss3,4 Methylenedioxymethcath",0,0,0,0,4,Low,1,1
47,Caucasian,Female,1,F,arrest case no charge,0,0,0,1,1,Low,1,0
31,African-American,Male,7,F,Felony Driving While Lic Suspd,0,0,0,1,3,Low,1,1
37,Hispanic,Male,0,M,Battery,0,0,0,0,1,Low,0,1
25,African-American,Male,3,F,Grand Theft in the 3rd Degree,0,0,0,0,10,High,1,1
31,Caucasian,Male,6,F,Driving While License Revoked,0,0,0,1,5,Medium,1,1
31,Caucasian,Male,5,F,Possession Of Heroin,0,0,0,1,3,Low,1,1
64,African-American,Male,13,F,arrest case no charge,0,0,0,1,6,Medium,1,1
21,African-American,Male,1,F,Battery on Law Enforc Officer,0,0,0,1,9,High,1,1
27,Caucasian,Male,0,M,Possession Of Methamphetamine,0,0,0,1,2,Low,0,1
21,Caucasian,Female,0,F,Introduce Contraband Into Jail,0,0,0,0,4,Low,1,0
24,Hispanic,Male,1,F,Lewd/Lasc Battery Pers 12+/<16,0,0,0,1,4,Low,1,1
43,Caucasian,Male,1,M,Susp Drivers Lic 1st Offense,0,0,0,0,1,Low,0,1
32,Other,Male,0,M,Battery,0,0,0,0,3,Low,0,1
27,African-American,Male,8,F,Carrying Concealed Firearm,0,0,0,1,3,Low,1,1
26,African-American,Male,5,F,Pos Cannabis W/Intent Sel/Del,0,0,1,1,7,Medium,1,1
33,African-American,Male,0,F,Tampering With Physical Evidence,0,0,0,1,10,High,1,1
30,Caucasian,Male,9,F,Felony Battery w/Prior Convict,0,0,0,1,9,High,1,1
32,African-American,Male,4,F,Att Tamper w/Physical Evidence,0,0,0,1,8,High,1,1
55,Caucasian,Male,0,F,arrest case no charge,0,0,0,0,1,Low,1,1
49,Other,Male,7,F,Agg Fleeing and Eluding,0,0,0,1,3,Low,1,1
33,Caucasian,Female,4,M,Battery,0,0,0,1,5,Medium,0,0
24,Caucasian,Male,1,M,Battery,0,0,0,1,2,Low,0,1
34,African-American,Male,21,F,Poss Wep Conv Felon,2,1,3,1,9,High,1,1
29,Caucasian,Male,0,M,Possess Cannabis/20 Grams Or Less,0,0,0,0,2,Low,0,1
21,African-American,Female,2,F,arrest case no charge,0,0,0,0,8,High,1,0
51,African-American,Male,2,M,Unlaw Use False Name/Identity,0,0,0,0,1,Low,0,1
29,Caucasian,Male,2,M,Viol Injunct Domestic Violence,0,0,0,1,2,Low,0,1
51,African-American,Female,7,F,Possession of Cocaine,0,0,0,0,2,Low,1,0
29,African-American,Male,0,F,Defrauding Innkeeper $300/More,0,0,0,1,7,Medium,1,1
25,Caucasian,Male,9,M,Battery,0,0,0,1,10,High,0,1
35,African-American,Male,13,F,Uttering a Forged Instrument,1,0,4,1,8,High,1,1
49,Caucasian,Male,0,M,DUI Level 0.15 Or Minor In Veh,0,0,0,0,1,Low,0,1
29,African-American,Male,0,F,Tampering With Physical Evidence,0,0,0,0,4,Low,1,1
29,Caucasian,Male,1,F,Possession of Oxycodone,0,0,0,1,2,Low,1,1
28,Other,Female,0,F,Grand Theft in the 3rd Degree,0,0,0,0,2,Low,1,0
31,African-American,Male,15,F,Attempt Armed Burglary Dwell,0,0,1,0,5,Medium,1,1
24,African-American,Male,2,F,Poss Tetrahydrocannabinols,0,0,0,1,4,Low,1,1
30,Hispanic,Male,0,M,Possess Cannabis/20 Grams Or Less,0,0,0,0,7,Medium,0,1
49,African-American,Male,4,M,Battery,0,0,0,0,1,Low,0,1
53,Caucasian,Male,8,F,arrest case no charge,0,0,0,0,5,Medium,1,1
35,African-American,Male,5,F,Driving While License Revoked,0,0,0,0,3,Low,1,1
27,African-American,Male,15,F,Driving While License Revoked,1,1,2,1,10,High,1,1
38,Caucasian,Male,4,M,Battery,0,0,0,1,2,Low,0,1
22,African-American,Male,1,F,Poss Firearm W/Altered ID#,0,0,1,1,4,Low,1,1
29,African-American,Male,4,F,arrest case no charge,0,0,0,1,9,High,1,1
62,Hispanic,Male,0,M,Unlaw LicTag/Sticker Attach,0,0,0,0,1,Low,0,1
27,African-American,Male,6,F,Aggravated Battery / Pregnant,0,1,0,1,6,Medium,1,1
33,Other,Male,0,M,Battery,0,0,0,0,1,Low,0,1
56,African-American,Female,0,M,Battery,0,0,0,0,1,Low,0,0
45,Hispanic,Male,6,F,Possession of Cocaine,0,0,0,1,1,Low,1,1
22,Hispanic,Male,1,F,Burglary Structure Unoccup,0,0,0,0,4,Low,1,1
39,African-American,Male,1,M,arrest case no charge,0,0,0,0,4,Low,0,1
29,African-American,Male,5,F,False Name By Person Arrest,0,0,0,1,6,Medium,1,1
27,Caucasian,Male,1,F,arrest case no charge,0,0,1,1,6,Medium,1,1
40,African-American,Male,2,F,arrest case no charge,0,0,0,0,2,Low,1,1
22,African-American,Male,1,M,Battery,0,0,0,1,3,Low,0,1
22,Caucasian,Male,0,F,Grand Theft in the 3rd Degree,0,0,0,0,8,High,1,1
26,African-American,Female,1,F,Poss Cocaine/Intent To Del/Sel,0,0,0,1,4,Low,1,0
32,African-American,Male,0,F,Felony Battery (Dom Strang),0,0,0,0,2,Low,1,1
41,African-American,Male,1,M,arrest case no charge,0,0,0,0,2,Low,0,1
30,African-American,Male,8,M,Possess Cannabis/20 Grams Or Less,0,0,0,1,10,High,0,1
50,Other,Male,0,F,arrest case no charge,0,0,0,1,1,Low,1,1
25,African-American,Male,14,F,arrest case no charge,1,6,1,1,10,High,1,1
20,Other,Male,0,F,Tampering With Physical Evidence,0,0,0,1,5,Medium,1,1
22,African-American,Male,2,F,Attempted Burg/struct/unocc,1,0,0,1,9,High,1,1
35,African-American,Female,1,M,arrest case no charge,0,0,0,0,2,Low,0,0
36,African-American,Male,9,F,Deliver Cocaine,0,0,0,1,7,Medium,1,1
26,Caucasian,Male,7,F,Possession Burglary Tools,0,0,0,1,8,High,1,1
21,Other,Male,1,F,Grand Theft in the 3rd Degree,0,0,0,1,6,Medium,1,1
25,Caucasian,Male,9,F,Pos Cannabis W/Intent Sel/Del,0,0,0,1,8,High,1,1
20,Caucasian,Female,0,F,"Poss3,4 Methylenedioxymethcath",0,0,0,0,7,Medium,1,0
39,Caucasian,Male,2,F,Possession Of Alprazolam,0,0,0,1,1,Low,1,1
54,Caucasian,Female,0,M,DUI Level 0.15 Or Minor In Veh,0,0,0,0,1,Low,0,0
44,Hispanic,Female,0,M,Battery,0,0,0,0,1,Low,0,0
19,African-American,Male,1,M,Battery,0,0,0,1,4,Low,0,1
30,African-American,Male,1,F,Fail To Redeliv Hire/Leas Prop,0,0,0,0,2,Low,1,1
39,Caucasian,Female,0,F,Aggravated Assault W/Dead Weap,0,0,0,1,1,Low,1,0
